venue,date,time,interested,sold_out,title,desc,url
"Concert Hall, Sydney Opera House",Wed 28 February,8:00pm,No,No,Simone Young conducts Mahler’s Fifth Symphony,"Mahler’s Fifth Symphony is an extraordinary creation in both sound and scale. This vast musical journey builds from a luminous fanfare from a single trumpet to moments of great explosive power and a poignant contemplation of love in the Adagietto – one of the best-loved movements in all of music. Under the dynamic direction of Simone Young, Mahler’s vast architecture is revealed, and his stunning colours burn bright.A rising star, French composer Camille Pépin has created an enchanting expression of life’s technicolour with her Violin Concerto. A work of long, shimmering chords, suspended and weightless, has a peerless interpreter in Renaud Capuçon, who, together with Simone Young, gave the world premiere of the work with the Orchestre National de France in April 2022. Co-commissioned by the Sydney Symphony, it’s our turn to hear this duo deliver Pépin’s compelling new work.",https://www.sydneysymphony.com/concerts/simone-young-conducts-mahlers-fifth-symphony
"Concert Hall, Sydney Opera House",Thu 29 February,1:30pm,No,No,Simone Young conducts Mahler’s Fifth Symphony,"Mahler’s Fifth Symphony is an extraordinary creation in both sound and scale. This vast musical journey builds from a luminous fanfare from a single trumpet to moments of great explosive power and a poignant contemplation of love in the Adagietto – one of the best-loved movements in all of music. Under the dynamic direction of Simone Young, Mahler’s vast architecture is revealed, and his stunning colours burn bright.A rising star, French composer Camille Pépin has created an enchanting expression of life’s technicolour with her Violin Concerto. A work of long, shimmering chords, suspended and weightless, has a peerless interpreter in Renaud Capuçon, who, together with Simone Young, gave the world premiere of the work with the Orchestre National de France in April 2022. Co-commissioned by the Sydney Symphony, it’s our turn to hear this duo deliver Pépin’s compelling new work.",https://www.sydneysymphony.com/concerts/simone-young-conducts-mahlers-fifth-symphony
"Concert Hall, Sydney Opera House",Fri 01 March,8:00pm,No,No,Simone Young conducts Mahler’s Fifth Symphony,"Mahler’s Fifth Symphony is an extraordinary creation in both sound and scale. This vast musical journey builds from a luminous fanfare from a single trumpet to moments of great explosive power and a poignant contemplation of love in the Adagietto – one of the best-loved movements in all of music. Under the dynamic direction of Simone Young, Mahler’s vast architecture is revealed, and his stunning colours burn bright.A rising star, French composer Camille Pépin has created an enchanting expression of life’s technicolour with her Violin Concerto. A work of long, shimmering chords, suspended and weightless, has a peerless interpreter in Renaud Capuçon, who, together with Simone Young, gave the world premiere of the work with the Orchestre National de France in April 2022. Co-commissioned by the Sydney Symphony, it’s our turn to hear this duo deliver Pépin’s compelling new work.",https://www.sydneysymphony.com/concerts/simone-young-conducts-mahlers-fifth-symphony
"Concert Hall, Sydney Opera House",Sat 02 March,8:00pm,No,No,Simone Young conducts Mahler’s Fifth Symphony,"Mahler’s Fifth Symphony is an extraordinary creation in both sound and scale. This vast musical journey builds from a luminous fanfare from a single trumpet to moments of great explosive power and a poignant contemplation of love in the Adagietto – one of the best-loved movements in all of music. Under the dynamic direction of Simone Young, Mahler’s vast architecture is revealed, and his stunning colours burn bright.A rising star, French composer Camille Pépin has created an enchanting expression of life’s technicolour with her Violin Concerto. A work of long, shimmering chords, suspended and weightless, has a peerless interpreter in Renaud Capuçon, who, together with Simone Young, gave the world premiere of the work with the Orchestre National de France in April 2022. Co-commissioned by the Sydney Symphony, it’s our turn to hear this duo deliver Pépin’s compelling new work.",https://www.sydneysymphony.com/concerts/simone-young-conducts-mahlers-fifth-symphony
"Concert Hall, Sydney Opera House",Fri 08 March,11:00am,No,No,Schumann’s Second Symphony with Simone Young,"Glanville-Hicks was fascinated by Greek culture, and you can almost hear the azure waves of the Mediterranean lapping in these wonderful works.Written a century earlier, Robert Schumann’s Second Symphony continues the great German symphonic tradition handed down from Haydn, Mozart and Beethoven. Its shimmering melodies beam with joy and unbridled enthusiasm in a wonderfully delicate reminder of music’s restorative power. Our Great Classics performance also includes Beethoven’s sunny, optimistic Second Symphony which captures the composer at the very moment he was revealing a unique artistic voice and announcing a new musical age. With Simone Young’s great passion for these three composers, these works combine for performances of delightful exuberance and brilliance. Prepare to be swept off your feet.",https://www.sydneysymphony.com/concerts/schumanns-second-symphony-with-simone-young
"Concert Hall, Sydney Opera House",Sat 09 March,2:00pm,No,No,Schumann’s Second Symphony with Simone Young,"Glanville-Hicks was fascinated by Greek culture, and you can almost hear the azure waves of the Mediterranean lapping in these wonderful works.Written a century earlier, Robert Schumann’s Second Symphony continues the great German symphonic tradition handed down from Haydn, Mozart and Beethoven. Its shimmering melodies beam with joy and unbridled enthusiasm in a wonderfully delicate reminder of music’s restorative power. Our Great Classics performance also includes Beethoven’s sunny, optimistic Second Symphony which captures the composer at the very moment he was revealing a unique artistic voice and announcing a new musical age. With Simone Young’s great passion for these three composers, these works combine for performances of delightful exuberance and brilliance. Prepare to be swept off your feet.",https://www.sydneysymphony.com/concerts/schumanns-second-symphony-with-simone-young
"Concert Hall, Sydney Opera House",Fri 15 March,7:00pm,No,No,Simone Young conducts Gurrelieder,"Adapted from Danish legend, this masterpiece rivals any fantasy epic with its themes of passion, jealousy and the quest for love that transcends life.As the story unfolds, Gurrelieder’s captivating, hypnotic melodies and vast choral music emerge in waves building to one of the most beautifully realised sunrises in all music.In a musical landmark, Chief Conductor Simone Young leads the Sydney Symphony in this extraordinary work for the first time in the Orchestra’s history. An all-star cast includes celebrated tenor Simon O’Neill and the extraordinary German soprano Ricarda Merbeth making her long-awaited return to Sydney. On a Sydney Opera House Concert Hall stage that will almost double in size, the Sydney Symphony will be joined by musicians from the Australian National Academy of Music and a massed choir. It seems appropriate that the last great Romantic building of the 20th century will house this ravishing work of power, grace and beauty. An unmissable experience.",https://www.sydneysymphony.com/concerts/simone-young-conducts-gurrelieder
"Concert Hall, Sydney Opera House",Sat 16 March,7:00pm,No,No,Simone Young conducts Gurrelieder,"Adapted from Danish legend, this masterpiece rivals any fantasy epic with its themes of passion, jealousy and the quest for love that transcends life.As the story unfolds, Gurrelieder’s captivating, hypnotic melodies and vast choral music emerge in waves building to one of the most beautifully realised sunrises in all music.In a musical landmark, Chief Conductor Simone Young leads the Sydney Symphony in this extraordinary work for the first time in the Orchestra’s history. An all-star cast includes celebrated tenor Simon O’Neill and the extraordinary German soprano Ricarda Merbeth making her long-awaited return to Sydney. On a Sydney Opera House Concert Hall stage that will almost double in size, the Sydney Symphony will be joined by musicians from the Australian National Academy of Music and a massed choir. It seems appropriate that the last great Romantic building of the 20th century will house this ravishing work of power, grace and beauty. An unmissable experience.",https://www.sydneysymphony.com/concerts/simone-young-conducts-gurrelieder
"Concert Hall, Sydney Opera House",Mon 18 March,7:00pm,No,No,Víkingur Ólafsson performs Bach’s Goldberg Variations,"Since bursting onto the international scene in 2017, Ólafsson has taken the world by storm, combining a contemporary sensibility with flawless technique. Bach’s Goldberg Variations are gorgeously enigmatic musical gems, and Ólafsson makes them sparkle. No matter how many times you turn this work over, how many times you hold it up to the light, there’s always more to discover. A gentle theme opens the work, followed by thirty short variations, each overflowing with experimentation and daring. A universe of musical possibility. The finale is marked by a return to the beginning. After a journey of transformations, textures and harmonies, we are the ones who have arrived alongside the artist. It’s a breathtaking conclusion to a remarkable experience with a pianist of supreme musical intelligence and style.",https://www.sydneysymphony.com/concerts/vikingur-olafsson-performs-bachs-goldberg-variations
"Concert Hall, Sydney Opera House",Wed 20 March,8:00pm,No,No,Beethoven’s Third Symphony,"Beginning with two giant chords that open to a landscape of thrilling power, the symphony builds to final movements that are bright, bold and triumphant.With these concerts, Icelandic phenomenon Víkingur Ólafsson makes his Australian concerto debut. Ólafsson’s exquisite performances have captivated audiences and inspired legions of new classical fans: ‘whatever he plays, Ólafsson treats the music with equal distinction: articulation wonderfully fleet and clean; the phrasing flexible, always alive; the range of touch in his fingers stretching into infinity,’ wrote The Times (London). Here he brings a contemporary touch to Ravel’s Piano Concerto, an ideal challenge for a soloist of such virtuosity.Principal Guest Conductor Sir Donald Runnicles, renowned for creating experiences of great expressive power and distinction, leads these performances.",https://www.sydneysymphony.com/concerts/beethovens-third-symphony
"Concert Hall, Sydney Opera House",Thu 21 March,1:30pm,No,No,Beethoven’s Third Symphony,"Beginning with two giant chords that open to a landscape of thrilling power, the symphony builds to final movements that are bright, bold and triumphant.With these concerts, Icelandic phenomenon Víkingur Ólafsson makes his Australian concerto debut. Ólafsson’s exquisite performances have captivated audiences and inspired legions of new classical fans: ‘whatever he plays, Ólafsson treats the music with equal distinction: articulation wonderfully fleet and clean; the phrasing flexible, always alive; the range of touch in his fingers stretching into infinity,’ wrote The Times (London). Here he brings a contemporary touch to Ravel’s Piano Concerto, an ideal challenge for a soloist of such virtuosity.Principal Guest Conductor Sir Donald Runnicles, renowned for creating experiences of great expressive power and distinction, leads these performances.",https://www.sydneysymphony.com/concerts/beethovens-third-symphony
"Concert Hall, Sydney Opera House",Fri 22 March,8:00pm,No,No,Beethoven’s Third Symphony,"Beginning with two giant chords that open to a landscape of thrilling power, the symphony builds to final movements that are bright, bold and triumphant.With these concerts, Icelandic phenomenon Víkingur Ólafsson makes his Australian concerto debut. Ólafsson’s exquisite performances have captivated audiences and inspired legions of new classical fans: ‘whatever he plays, Ólafsson treats the music with equal distinction: articulation wonderfully fleet and clean; the phrasing flexible, always alive; the range of touch in his fingers stretching into infinity,’ wrote The Times (London). Here he brings a contemporary touch to Ravel’s Piano Concerto, an ideal challenge for a soloist of such virtuosity.Principal Guest Conductor Sir Donald Runnicles, renowned for creating experiences of great expressive power and distinction, leads these performances.",https://www.sydneysymphony.com/concerts/beethovens-third-symphony
"Concert Hall, Sydney Opera House",Sat 23 March,8:00pm,No,No,Beethoven’s Third Symphony,"Beginning with two giant chords that open to a landscape of thrilling power, the symphony builds to final movements that are bright, bold and triumphant.With these concerts, Icelandic phenomenon Víkingur Ólafsson makes his Australian concerto debut. Ólafsson’s exquisite performances have captivated audiences and inspired legions of new classical fans: ‘whatever he plays, Ólafsson treats the music with equal distinction: articulation wonderfully fleet and clean; the phrasing flexible, always alive; the range of touch in his fingers stretching into infinity,’ wrote The Times (London). Here he brings a contemporary touch to Ravel’s Piano Concerto, an ideal challenge for a soloist of such virtuosity.Principal Guest Conductor Sir Donald Runnicles, renowned for creating experiences of great expressive power and distinction, leads these performances.",https://www.sydneysymphony.com/concerts/beethovens-third-symphony
"Concert Hall, Sydney Opera House",Wed 27 March,7:00pm,No,No,Donald Runnicles conducts The Protecting Veil,"Deeply connected to ancient traditions, he dedicated his life to expressing beauty and truth through music. In The Protecting Veil he created an exquisite universe, awe-inspiring and intensely beautiful. Full of delicate, weightless chords that float over the concert hall. English cellist Matthew Barley is the ideal soloist for this deeply touching meditation for cello and orchestra, his recent recording of it praised as a 'performance of great tenderness and eloquence' by BBC Music Magazine. Wagner’s ‘Good Friday Spell’ from Parsifal is the ideal way into this program. A bright and ecstatic celebration of life and the world, the triumphant sound of the brass is enchanting and delightful. After the contemplation of Tavener, Mendelssohn’s triumphant Fifth Symphony is the perfect way to send you back out into the world. This is transformative music that touches the soul and lifts the spirits.",https://www.sydneysymphony.com/concerts/donald-runnicles-conducts-the-protecting-veil
"Concert Hall, Sydney Opera House",Thu 28 March,7:00pm,No,No,Donald Runnicles conducts The Protecting Veil,"Deeply connected to ancient traditions, he dedicated his life to expressing beauty and truth through music. In The Protecting Veil he created an exquisite universe, awe-inspiring and intensely beautiful. Full of delicate, weightless chords that float over the concert hall. English cellist Matthew Barley is the ideal soloist for this deeply touching meditation for cello and orchestra, his recent recording of it praised as a 'performance of great tenderness and eloquence' by BBC Music Magazine. Wagner’s ‘Good Friday Spell’ from Parsifal is the ideal way into this program. A bright and ecstatic celebration of life and the world, the triumphant sound of the brass is enchanting and delightful. After the contemplation of Tavener, Mendelssohn’s triumphant Fifth Symphony is the perfect way to send you back out into the world. This is transformative music that touches the soul and lifts the spirits.",https://www.sydneysymphony.com/concerts/donald-runnicles-conducts-the-protecting-veil
"Utzon Room, Sydney Opera House",Fri 12 April,6:00pm,No,No,Mendelssohn's Octet,"Unfolding over 30 completely captivating minutes, the work for four violins, two violas and two cellos was the first of its kind – and 200 years on, it has rarely been bettered.A work of extraordinary invention and meticulous string writing, the Octet calls on every imaginable combination of voices possible from just eight string players. One critic summed it up when he wrote, ""Its youthful verve, brilliance and perfection make it one of the miracles of nineteenth-century music."" A century earlier, Georg Philipp Telemann was an important link between the late Baroque and early Classical styles, and a major influence on Mendelssohn. His concertos for four solo violins are exquisite works, the strings weaving and dancing around each other with great verve and energy. It’s not hard to imagine Mendelssohn taking inspiration from these intricate delights.",https://www.sydneysymphony.com/concerts/mendelssohns-octet-2024
"Concert Hall, Sydney Opera House",Fri 12 April,7:00pm,No,No,Singin’ in the Rain A Symphonic Night at the Movies,"Relive the glamour of late 1920s Hollywood through performances by the legendary Gene Kelly, Donald O’Connor and Debbie Reynolds who star as three performers grappling with Hollywood’s switch from silent movies to the ‘talkies’.Co-directed and choregraphed by Gene Kelly, Singin’ in the Rain is a timeless comedy filled with extraordinary dance sequences, stunning design, and immortal songs including ‘Make ’Em Laugh’, ‘Good Morning’ and the title song ‘Singin’ in the Rain’.Experience this glorious Technicolor feast as the Sydney Symphony Orchestra performs the iconic score live to film at the Sydney Opera House.Grab your umbrella and join us for an unforgettable night of movie magic.© 1952 Warner Bros. Entertainment, Inc.",https://www.sydneysymphony.com/concerts/singin-in-the-rain-2024
"Utzon Room, Sydney Opera House",Sat 13 April,6:00pm,No,No,Mendelssohn's Octet,"Unfolding over 30 completely captivating minutes, the work for four violins, two violas and two cellos was the first of its kind – and 200 years on, it has rarely been bettered.A work of extraordinary invention and meticulous string writing, the Octet calls on every imaginable combination of voices possible from just eight string players. One critic summed it up when he wrote, ""Its youthful verve, brilliance and perfection make it one of the miracles of nineteenth-century music."" A century earlier, Georg Philipp Telemann was an important link between the late Baroque and early Classical styles, and a major influence on Mendelssohn. His concertos for four solo violins are exquisite works, the strings weaving and dancing around each other with great verve and energy. It’s not hard to imagine Mendelssohn taking inspiration from these intricate delights.",https://www.sydneysymphony.com/concerts/mendelssohns-octet-2024
"Concert Hall, Sydney Opera House",Sat 13 April,7:00pm,No,No,Singin’ in the Rain A Symphonic Night at the Movies,"Relive the glamour of late 1920s Hollywood through performances by the legendary Gene Kelly, Donald O’Connor and Debbie Reynolds who star as three performers grappling with Hollywood’s switch from silent movies to the ‘talkies’.Co-directed and choregraphed by Gene Kelly, Singin’ in the Rain is a timeless comedy filled with extraordinary dance sequences, stunning design, and immortal songs including ‘Make ’Em Laugh’, ‘Good Morning’ and the title song ‘Singin’ in the Rain’.Experience this glorious Technicolor feast as the Sydney Symphony Orchestra performs the iconic score live to film at the Sydney Opera House.Grab your umbrella and join us for an unforgettable night of movie magic.© 1952 Warner Bros. Entertainment, Inc.",https://www.sydneysymphony.com/concerts/singin-in-the-rain-2024
"Concert Hall, Sydney Opera House",Wed 24 April,8:00pm,No,No,Osmo Vänskä conducts the music of Sibelius,"Conductor Osmo Vänskä is universally acknowledged as 'our greatest living Sibelian' (Sunday Times) — his interpretations of his countryman’s music hailed for their 'marvellous energy and dramatic fire' (The Guardian). For this event, Vänskä has chosen pieces that bring to life Finnish myths and legends through Sibelius' rich and evocative soundworld: the creation of the world in Luonnotar and the heroic Lemminkäinen Suite including the beloved The Swan of Tuonela. Vänskä is joined by acclaimed Finnish soprano Helena Juntunen for a selection of five songs inspired by Finnish folklore. Juntunen 'commands her audience’s attention' with a 'shimmering stream of glistening tone' (Bachtrack), and is the ideal singer for these heartfelt, richly textured works. Does love burn brighter in a cold place? Discover the answer in this special Sydney Symphony celebration of Sibelius and the beauty of his homeland.",https://www.sydneysymphony.com/concerts/osmo-vanska-conducts-sibelius
"Concert Hall, Sydney Opera House",Fri 26 April,8:00pm,No,No,Osmo Vänskä conducts the music of Sibelius,"Conductor Osmo Vänskä is universally acknowledged as 'our greatest living Sibelian' (Sunday Times) — his interpretations of his countryman’s music hailed for their 'marvellous energy and dramatic fire' (The Guardian). For this event, Vänskä has chosen pieces that bring to life Finnish myths and legends through Sibelius' rich and evocative soundworld: the creation of the world in Luonnotar and the heroic Lemminkäinen Suite including the beloved The Swan of Tuonela. Vänskä is joined by acclaimed Finnish soprano Helena Juntunen for a selection of five songs inspired by Finnish folklore. Juntunen 'commands her audience’s attention' with a 'shimmering stream of glistening tone' (Bachtrack), and is the ideal singer for these heartfelt, richly textured works. Does love burn brighter in a cold place? Discover the answer in this special Sydney Symphony celebration of Sibelius and the beauty of his homeland.",https://www.sydneysymphony.com/concerts/osmo-vanska-conducts-sibelius
